序号,物质名称,GB 标准号,日期和状态,分类,描述,标签
184, 山梨酸, GB1886.186-2016,, 防腐剂, 有效的食品防腐剂，能够延长食品保质期，通常安全，适合多种食品使用。, 安全
185, 山梨糖醇和山梨糖醇液, GB1886.187-2016,, 甜味剂、保湿剂, 具有甜度且有保湿作用，通常安全，适合多种甜点和饮料中使用。, 安全
186, 田菁胶, GB1886.188-2016,, 增稠剂, 可增加食品的黏稠度，通常安全，适合各种调味品和汤类中使用。, 安全
187, 3-环己基丙酸烯丙酯, GB1886.189-2016,, 食品用香料, 用于增添食品香味，通常安全，适合多种食品和饮料中使用。, 安全
188, 乙酸乙酯, GB1886.190-2016,, 食品用香料, 具有特殊香气，通常安全，常用于烘焙和饮料中。, 安全
189, 柠檬醛, GB1886.191-2016,, 食品用香料, 具有柠檬香味，通常安全，适合甜点和饮料中,NULL
190,苯乙醇,GB1886.192-2016,,食品用香料,苯乙醇是一种具有芳香气味的化合物，常用于调味和香料中，能增加食品的吸引力，适合多种食品如糖果和烘焙食品。,安全
191,丙酸乙酯,GB1886.193-2016,,食品用香料,丙酸乙酯散发出独特的香气，常用于香料和食品添加剂中，有助于提升食品的整体风味，适合多种食品的调味。,安全
192,丁酸乙酯,GB1886.194-2016,,食品用香料,丁酸乙酯具有特殊香味，通常用于糕点和乳制品中，能够为食品增添独特的口感和香气。,安全
193,丁酸异戊酯,GB1886.195-2016,,食品用香料,丁酸异戊酯散发着水果香味，适用于果味食品和饮料中，为食品提供自然的水果风味。,安全
194,己酸乙酯,GB1886.196-2016,,食品用香料,己酸乙酯带有特殊风味，常用于油炸食品和调味品中，以增强食品的香气和口感。,安全
195,乳酸乙酯,GB1886.197-2016,,食品用香料,乳酸乙酯具有特殊香气，适用于各种食品中，以增加其风味和芳香性，通常安全。,安全
196,α-松油醇,GB1886.198-2016,,食品用香料,α-松油醇散发出独特的香味，常用于香水和食品中，能够增强食品的自然香气。,安全
197,天然薄荷脑,GB1886.199-2016,,食品用香料,天然薄荷脑具有清凉的薄荷味，广泛应用于糖果和饮料中，能够带来清新的口感和香气。,安全
198,香叶油(又名玫瑰香叶油),GB1886.200-2016,,食品用香料,香叶油具有浓郁的香气，常用于烘焙和调味品中，能增添食品的香气层次。,安全
199,乙酸苄酯,GB1886.201-2016,,食品用香料,乙酸苄酯具有芳香气味，通常用于香料和饮料中，以提升食品的香气和吸引力。,安全
200,乙酸异戊酯,GB1886.202-2016,,食品用香料,乙酸异戊酯散发出水果香味，适合用于多种果味食品中，能够增强食品的风味。,安全
201,异戊酸异戊酯,GB1886.203-2016,,食品用香料,异戊酸异戊酯具有特殊香气，常用于调味品和香料中，能够为食品增添独特的香气和口感。,安全
202,亚洲薄荷素油,GB1886.204-2016,,食品用香料,亚洲薄荷素油具有明显的薄荷香气，常用于糖果和饮料中，能够带来清新和凉爽的口感。,安全
203,d-香芹酮,GB1886.205-2016,,食品用香料,d-香芹酮是一种具有特殊香味的化合物，广泛应用于香料和调味品中，为食品增添丰富的香气。,安全
204,l-香芹酮,GB1886.206-2016,,食品用香料,l-香芹酮具有独特香气，常用于食品调味和香料中，以提升食品的芳香和风味。,安全
205,中国肉桂油,GB1886.207-2016,,食品用香料,中国肉桂油具有浓烈的肉桂香味，适用于甜点和饮料中，能够增添温暖的风味。,安全
206,乙基麦芽酚,GB1886.208-2016,,食品用香料,乙基麦芽酚在食品中具有增香作用，常用于调味和香料中，能够丰富食品的香气层次。,安全
207,正丁醇,GB1886.209-2016,,食品用香料,正丁醇散发出特殊气味，常用于食品香料中，能为食品提供独特的香气和风味。,安全
208,丙酸,GB1886.210-2016,,酸度调节剂,丙酸可有效调节食品的酸度，常用于面包和乳制品中，确保食品的质量和风味。,安全
209,茶多酚（又名维多酚）,GB1886.211-2016,,抗氧化剂,茶多酚是一种天然抗氧化物质，常用于饮料和食品中，以延长保质期和提升营养价值。,安全
210,酪蛋白酸钠（又名酪朊酸钠）,GB1886.212-2016,,乳化剂、增稠剂,酪蛋白酸钠具有优良的乳化和增稠作用，适用于乳制品和调味品中，提高食品的口感。,安全
211,二氧化硫,GB1886.213-2016,,漂白剂、防腐剂,二氧化硫用于食品漂白和防腐，能延长食品的保质期，适合多种食品的加工。,安全
212,碳酸钙（包括轻质和重质碳酸钙）,GB1886.214-2016,,营养强化剂,碳酸钙作为钙的补充来源，常用于乳制品和饮料中，以满足人体对钙的需求。,安全
213,白油(又名液体石蜡),GB1886.215-2016,,被膜剂,白油可在食品表面形成保护膜，防止水分流失，适合多种食品的保存。,安全
214,氧化镁(包括重质和轻质),GB1886.216-2016,,营养强化剂,氧化镁用于补充镁元素，常见于营养强化食品中，确保消费者的健康需求。,安全
215,亮蓝,GB1886.217-2016,,着色剂,亮蓝是一种蓝色着色剂，广泛应用于饮料和糖果中，以提供鲜艳的颜色。,安全
216,亮蓝铝色淀,GB1886.218-2016,,着色剂,亮蓝铝色淀是一种蓝色着色剂，常用于食品中，能够增加视觉吸引力。,安全
217,苋菜红铝色淀,GB1886.219-2016,,着色剂,苋菜红铝色淀是一种红色着色剂，适用于糖果和饮料，增加色彩的鲜明度。,安全
218,胭脂红,GB1886.220-2016,,着色剂,胭脂红是一种红色着色剂，广泛用于食品中，提供美观的色彩效果。,安全
219,胭脂红铝色淀,GB1886.221-2016,,着色剂,胭脂红铝色淀是红色着色剂的一种，适用于多种食品，能够增强视觉效果。,安全
220,诱惑红,GB1886.222-2016,,着色剂,诱惑红是一种红色着色剂，适用于糖果和饮料，增加食品的吸引力。,安全
221,诱惑红铝色淀,GB1886.223-2016,,着色剂,诱惑红铝色淀是一种红色着色剂，广泛应用于食品中，提供鲜艳的色彩效果。,安全
222,日落黄铝色淀,GB1886.224-2016,,着色剂,日落黄铝色淀是一种黄色着色剂，常用于食品中，增加食品的色彩多样性。,安全
223,乙氧基喹,GB1886.225-2016,,抗氧化剂,乙氧基喹具有抗氧化作用，适用于多种食品，能延长食品的保质期。,安全
224,海藻酸丙二醇酯,GB1886.226-2016,,增稠剂、乳化剂,海藻酸丙二醇酯兼具增稠和乳化作用，适用于乳制品和饮料中，提高食品的质地。,安全
225,吗啉脂肪酸盐果蜡,GB1886.227-2024,,被膜剂,吗啉脂肪酸盐果蜡在水果表面形成保护性果蜡层，能有效减少水分蒸发，延长水果的新鲜度和保质期。,安全
226,二氧化碳,GB1886.228-2016,,其他,二氧化碳在食品加工中用途广泛，可用于碳酸饮料的制作以及提高食品的保鲜效果。,安全
227,硫酸铝钾（又名钾明矾）,GB1886.229-2016,,膨松剂、固化剂,硫酸铝钾可用于食品加工中，帮助膨松和固化，提高食品的口感和结构稳定性。,安全
228,抗坏血酸棕榈酸酯,GB1886.230-2016,,抗氧化剂,抗坏血酸棕榈酸酯是一种天然抗氧化剂，常用于防止食品氧化变质，延长保质期。,安全
229,乳酸链球菌素,GB1886.231-2023,,防腐剂,乳酸链球菌素是一种天然防腐剂，能够抑制多种有害微生物的生长，确保食品安全。,安全
230,羧甲基纤维素钠,GB1886.232-2016,,增稠剂,羧甲基纤维素钠可显著增加食品的黏稠度，广泛应用于乳制品和调味品中。,安全
231,维生素 E,GB1886.233-2016,,抗氧化剂,维生素 E是一种天然抗氧化物质，有助于保护细胞，延缓食品的氧化过程。,安全
232,木糖醇,GB1886.234-2016,,甜味剂,木糖醇具有与糖相似的甜度，但热量低，适合糖尿病患者使用，广泛应用于无糖食品中。,安全
233,柠檬酸,GB1886.235-2016,,酸度调节剂,柠檬酸广泛用于调节食品的酸度，提升风味，同时有助于防止微生物生长。,安全
234,丙二醇脂肪酸酯,GB1886.236-2016,,乳化剂,丙二醇脂肪酸酯具有优良的乳化性能，常用于食品加工中提高乳化效果。,安全
235,植酸（又名肌醇六磷酸）,GB1886.237-2016,,抗氧化剂,植酸是一种天然抗氧化剂，能够保护食品中的营养成分，延长保质期。,安全
236,改性大豆磷脂,GB1886.238-2016,,乳化剂,改性大豆磷脂用于改善食品的乳化状态，提高食品的质地和口感。,安全
237,琼脂,GB1886.239-2016,,增稠剂,琼脂具有良好的增稠性能，常用于制作果冻、奶制品和调味品。,安全
238,甘草酸一钾,GB1886.240-2016,,甜味剂,甘草酸一钾具有一定甜度，广泛应用于无糖食品中，增加食品的风味。,安全
239,甘草酸三钾,GB1886.241-2016,,甜味剂,甘草酸三钾可作为天然甜味剂，提升食品的甜味，常见于饮料和糖果中。,安全
240,甘草酸铵,GB1886.242-2016,,甜味剂,甘草酸铵可作为食品的甜味剂，具有较低的热量和良好的甜味效果。,安全
241,海藻酸钠(又名褐藻酸钠),GB1886.243-2016,,增稠剂,海藻酸钠能够有效增稠食品，提高其黏稠度，广泛应用于各类食品中。,安全
242,紫甘薯色素,GB1886.244-2016,,着色剂,紫甘薯色素为天然着色剂，能够为食品增添鲜艳的紫色，常用于饮料和糖果中。,安全
243,复配膨松剂,GB1886.245-2016,,膨松剂,复配膨松剂可使食品在烘焙时膨松，提升口感和外观，常见于面包和蛋糕中。,安全
244,滑石粉,GB1886.246-2016,,抗结剂,滑石粉可防止食品在储存过程中结块，保持食品的流动性。,安全
245,碳酸氢钾,GB1886.247-2016,,膨松剂,碳酸氢钾在食品中用于膨松，适合用于面包和烘焙产品中。,安全
246,稳定态二氧化氯,GB1886.248-2016,,漂白剂、消毒剂,稳定态二氧化氯可用于漂白和消毒食品，确保食品的安全和外观。,安全
247,4-己基间苯二酚,GB1886.249-2016,,抗氧化剂,4-己基间苯二酚具有良好的抗氧化作用，能够延长食品的保质期。,安全
248,植酸钠,GB1886.250-2016,,抗氧化剂,植酸钠是一种天然抗氧化物质，能够保护食品免受氧化损害。,安全
249,氧化铁黑,GB1886.251-2016,,着色剂,氧化铁黑为黑色着色剂，常用于食品中，增加视觉吸引力。,安全
250,氧化铁红,GB1886.252-2016,,着色剂,氧化铁红为红色着色剂，广泛应用于食品中，提供鲜艳的颜色效果。,安全
251,羟基硬脂精（又名氧化硬脂精）,GB1886.253-2016,,乳化剂,羟基硬脂精具有良好的乳化性能，适合于多种食品的加工。,安全
252,刺梧桐胶,GB1886.254-2016,,增稠剂,刺梧桐胶能够有效增加食品的黏稠度，常用于调味品和饮料中。,安全
253,活性炭,GB1886.255-2016,,吸附剂,活性炭能够吸附食品中的杂质和异味，提高食品的质量。,安全
254,甲基纤维素,GB1886.256-2024,,增稠剂,甲基纤维素具有增稠效果，常用于无糖食品和低热量产品中。,安全
255,溶菌酶,GB1886.257-2016,,防腐剂,溶菌酶是一种天然防腐剂，能够有效抑制细菌生长，确保食品的安全。,安全
256,正己烷,GB1886.258-2016,,提取溶剂,正己烷用于食品成分的提取，广泛应用于香料和植物提取物的加工。,安全
257,蔗糖聚丙烯醚,GB1886.259-2016,,乳化剂,蔗糖聚丙烯醚具有优良的乳化性能，适用于多种食品的乳化处理。,安全
258,橙皮素,GB1886.260-2016,,抗氧化剂,橙皮素是一种天然抗氧化剂，能够保护食品成分，延长保质期。,安全
259,根皮素,GB1886.261-2016,,抗氧化剂,根皮素为天然抗氧化物质，能有效抵御食品的氧化过程。,安全
260,柚苷(柚皮甙提取物),GB1886.262-2016,,抗氧化剂,柚苷具有抗氧化作用，有助于保护食品的营养成分，延长保质期。,安全
261,玫瑰净油,GB1886.263-2016,,食品用香料,玫瑰净油具有浓郁的玫瑰香味，常用于烘焙和饮料中，增添花香风味。,安全
262,小花茉莉净油,GB1886.264-2016,,食品用香料,小花茉莉净油散发迷人的茉莉香味，常用于甜品和饮品中，提高风味层次。,安全
263,桂花净油,GB1886.265-2016,,食品用香料,桂花净油带有独特的桂花香味，常用于月饼及传统甜点，增添芳香气息。,安全
264,红茶酊,GB1886.266-2016,,食品用香料,红茶酊具有浓郁的红茶香味，常用于饮料及甜点中，增加茶香风味。,安全
265,绿茶酊,GB1886.267-2016,,食品用香料,绿茶酊散发清新的绿茶香味，适合用于茶饮及糕点，提升清香感。,安全
266,罗汉果酊,GB1886.268-2016,,食品用香料,罗汉果酊具有甜美的罗汉果香味，常用于无糖食品中，提升甜味体验。,安全
267,黄芥末提取物,GB1886.269-2016,,食品用香料,黄芥末提取物带有辛辣的芥末香味，常用于调味酱和腌制食品中。,安全
268,茶树油(又名互叶白千层油),GB1886.270-2016,,食品用香料,茶树油散发特有的清香，常用于香料混合物，增添新鲜感。,安全
269,香茅油,GB1886.271-2016,,食品用香料,香茅油具有清新的香茅香味，适用于饮品和甜点，增加热带风味。,安全
270,大蒜油,GB1886.272-2016,,食品用香料,大蒜油带有浓烈的大蒜香味，广泛应用于调味品和烹饪中，增加风味。,安全
271,丁香花蕾油,GB1886.273-2016,,食品用香料,丁香花蕾油具有强烈的丁香香味，常用于烘焙和香料混合物中，增添浓郁口感。,安全
272,杭白菊花油,GB1886.274-2016,,食品用香料,杭白菊花油散发温和的菊花香味，适合用于茶饮及甜点，提升芳香感。,安全
273,白兰花油,GB1886.275-2016,,食品用香料,白兰花油具有优雅的白兰花香味，常用于高档甜点和饮品中，增添奢华感。,安全
274,白兰叶油,GB1886.276-2016,,食品用香料,白兰叶油散发清新的香味，常用于调味料和香料混合物，提升风味层次。,安全
275,树兰花油,GB1886.277-2016,,食品用香料,树兰花油具有独特的树兰香味，适合用于甜点和饮品，增添新鲜感。,安全
276,椒样薄荷油,GB1886.278-2016,,食品用香料,椒样薄荷油带有清凉的薄荷香味，常用于饮品和糖果，增添清新感。,安全
277,洋茉莉醛（又名胡椒醛）,GB1886.279-2016,,食品用香料,洋茉莉醛具有独特的香气，常用于高档香料和甜点中，增添芳香气息。,安全
278,2-甲基戊酸乙酯,GB1886.280-2016,,食品用香料,2-甲基戊酸乙酯具有特殊香气，常用于香料混合物中，增添独特风味。,安全
279,香茅醛,GB1886.281-2016,,食品用香料,香茅醛带有香茅的香气，适用于饮品和香料，增添清新感。,安全
280,麦芽酚,GB1886.282-2016,,食品用香料,麦芽酚具有显著的增香作用，广泛用于烘焙食品中，提升风味。,安全
281,乙基香兰素,GB1886.283-2016,,食品用香料,乙基香兰素散发甜美的香味，常用于甜点和饮品，增添甜香感。,安全
282,覆盆子酮(又名悬钩子酮),GB1886.284-2016,,食品用香料,覆盆子酮具有鲜明的特殊香气，适用于果味食品和香水调配中。,安全
283,丙酸苄酯,GB1886.285-2016,,食品用香料,丙酸苄酯带有浓郁的香味，常用于糖果和甜点，增添甜美风味。,安全
284,丁酸丁酯,GB1886.286-2016,,食品用香料,丁酸丁酯散发特殊香气，适合用于香料和果味食品中，增添丰富层次。,安全
285,异戊酸乙酯,GB1886.287-2016,,食品用香料,异戊酸乙酯具有水果香味，常用于果味食品和饮料中，提升清新感。,安全
286,苯甲酸乙酯,GB1886.288-2016,,食品用香料,苯甲酸乙酯带有芳香气味，适合用于香料和饮品，增添风味层次。,安全
287,苯甲酸苄酯,GB1886.289-2016,,食品用香料,苯甲酸苄酯具有芳香气味，广泛应用于香料和甜点中，增添特殊风味。,安全
288,2-甲基吡嗪,GB1886.290-2016,,食品用香料,2-甲基吡嗪散发特殊气味，适合用于香料和调味品中，增添独特体验。,安全
289,"2,3-二甲基吡嗪",GB1886.291-2016,,食品用香料,具有特殊香气，广泛用于调味品和香料混合物中。,安全
290,"2,3,5-三甲基吡嗪",GB1886.292-2016,,食品用香料,带有独特气味，适用于多种食品调味，增加风味层次。,安全
291,5-羟乙基-4-甲基噻唑,GB1886.293-2016,,食品用香料,5-羟乙基-4-甲基噻唑具有独特的香味，常用于风味增强和香料混合物中。,安全
292,2-乙酰基噻唑,GB1886.294-2016,,食品用香料,2-乙酰基噻唑散发特殊香气，适用于多种食品和饮品，增加风味层次。,安全
293,"2,3,5,6-四甲基吡嗪",GB1886.295-2016,,食品用香料,该化合物具有特殊气味，广泛用于食品调味和香料中，增添复杂性。,安全
294,柠檬酸铁铵,GB1886.296-2016,,营养强化剂,柠檬酸铁铵用于补充铁元素，改善缺铁性贫血的症状。,安全
295,聚氧丙烯甘油醚,GB1886.297-2018,,乳化剂,聚氧丙烯甘油醚具有良好的乳化作用，广泛应用于食品加工。,安全
296,聚氧丙烯氧化乙烯甘油醚,GB1886.298-2018,,乳化剂,此乳化剂可有效乳化食品，提升产品的质感和稳定性。,安全
297,冰结构蛋白,GB1886.299-2018,,其他,冰结构蛋白具有特殊作用，能够改善食品的口感和保鲜效果。,安全
298,离子交换树脂,GB1886.300-2018,,加工助剂,离子交换树脂用于食品加工，常用于去除杂质和改善产品质量。,安全
299,半乳甘露聚糖,GB1886.301-2018,,增稠剂,半乳甘露聚糖可有效增稠食品，改善质地和口感。,安全
300,聚乙二醇,GB1886.302-2021,,其他,聚乙二醇有多种用途，常用于食品作为增稠剂和保湿剂。,安全
301,食用单宁,GB1886.303-2021,,抗氧化剂,食用单宁具有抗氧化作用，能够延长食品的保质期。,安全
302,磷酸（湿法）,GB1886.304-2020,,酸度调节剂,磷酸（湿法）可调节食品的酸度，改善风味和口感。,安全
303,D-木糖,GB1886.305-2020,,甜味剂,D-木糖具有一定的甜度，常用于无糖食品和健康产品中。,安全
304,谷氨酸钠,GB1886.306-2020,,增味剂,谷氨酸钠增加食品的鲜味，广泛用于调味品和食品加工中。,安全
305,叶绿素铜钾盐,GB1886.307-2020,,着色剂,叶绿素铜钾盐是一种绿色着色剂，适用于多种食品的天然着色。,安全
306,海藻酸钙（又名褐藻酸钙）,GB1886.308-2020,,增稠剂,海藻酸钙可增稠食品，改善质地，常用于糖果和乳制品中。,安全
307,藻蓝,GB1886.309-2020,,着色剂,藻蓝是一种蓝色着色剂，常用于饮料和甜点的天然着色。,安全
308,金樱子棕,GB1886.310-2020,,着色剂,金樱子棕为棕色着色剂，广泛用于烘焙和甜点中，增添色彩。,安全
309,黑加仑红,GB1886.311-2020,,着色剂,黑加仑红是一种红色着色剂，适用于果味食品和饮料中，增加视觉吸引力。,安全
310,甲壳素,GB1886.312-2020,,其他,甲壳素具有多种用途，常用于保健食品和食品加工中。,安全
311,联苯醚（又名二苯醚）,GB1886.313-2020,,其他,联苯醚用于特定食品的加工，有助于改善质地。,安全
312,乙二胺四乙酸二钠钙,GB1886.314-2020,,稳定剂,此稳定剂可有效稳定食品，防止变质。,安全
313,胭脂虫红及其铝色淀,GB1886.315-2021,,着色剂,胭脂虫红是一种红色着色剂，广泛用于食品和饮料中，增加红色。,安全
314,胭脂树橙,GB1886.316-2021,,着色剂,胭脂树橙是一种橙黄色着色剂，适用于各类食品的着色。,安全
315,β-胡萝卜素（盐藻来源）,GB1886.317-2021,,着色剂,β-胡萝卜素是一种黄色着色剂，常用于饮料和食品中，增加色泽。,安全
316,玉米黄,GB1886.318-2021,,着色剂,玉米黄为天然黄色着色剂，色泽鲜艳，适用于多种食品的着色。,安全
317,沙棘黄,GB1886.319-2021,,着色剂,沙棘黄为黄色着色剂，具有营养价值，适用于各类食品中。,安全
318,葡萄糖酸钠,GB1886.320-2021,,酸度调节剂,葡萄糖酸钠为白色结晶颗粒，能够有效调节食品的酸度，改善口感。,安全
319,索马甜,GB1886.321-2021,,甜味剂,索马甜是一种高甜度的天然甜味剂，甜度是蔗糖的数千倍，用量极少即可达到理想甜味。,安全
320,可溶性大豆多糖,GB1886.322-2021,,增稠剂,可溶性大豆多糖由大豆提取，可增加食品的黏稠度，改善质地。,安全
321,花生衣红,GB1886.323-2021,,着色剂,花生衣红为天然红色着色剂，颜色鲜艳且稳定，适用于多种食品中。,安全
322,偏酒石酸,GB1886.324-2021,,酸度调节剂,无色晶体，能够有效调节食品的酸度，使食品的味道更加均衡，提升整体风味与口感。,安全
323,聚偏磷酸钾,GB1886.325-2021,,水分保持剂,该成分能与水分子结合，保持食品中的水分，防止干燥，帮助保持食品的新鲜度和口感。,安全
324,酸式焦磷酸钙,GB1886.326-2021,,膨松剂,在加热过程中分解产生气体，使食品变得蓬松，增加体积和口感，提升食品的质感和视觉吸引力。,安全
325,磷酸三钾,GB1886.327-2021,,酸度调节剂,可调节食品的酸碱度，使其达到适宜的口感，改善风味，使食品更易被接受。,安全
326,焦磷酸二氢二钠,GB1886.328-2021,,膨松剂,在食品加工过程中能有效产生气体，使食品膨胀，改善口感和质感，提升食品的卖相。,安全
327,磷酸氢二钠,GB1886.329-2021,,酸度调节剂,白色粉末状，能够调节食品的酸度，增强食品的稳定性和保存性，提升保质期。,安全
328,磷酸二氢铵,GB1886.330-2021,,酸度调节剂,能够调节食品的酸碱度，在食品中起到缓冲作用，维持食品风味的稳定性。,安全
329,磷酸氢二铵,GB1886.331-2021,,酸度调节剂,白色晶体，能有效调节食品的酸度，改善食品的口感，增强风味层次感。,安全
330,磷酸三钙,GB1886.332-2021,,营养强化剂,作为钙的补充来源，增强食品的营养价值，有助于消费者摄取必需的钙元素。,安全
331,磷酸二氢钙,GB1886.333-2021,,营养强化剂,为食品提供钙元素，有助于维持人体骨骼和牙齿的健康，提升食品的营养密度。,安全
332,磷酸氢二钾,GB1886.334-2021,,酸度调节剂,有效调节食品的酸碱度，提升食品口感，使其更加美味可口，适合广泛的食品应用。,安全
333,三聚磷酸钠,GB1886.335-2021,,水分保持剂,具有优良的保水性能，能够防止食品中的水分流失，延长食品的保质期和新鲜度。,安全
334,磷酸二氢钠,GB1886.336-2021,,酸度调节剂,无色透明晶体，能够有效调节食品的酸度，增强食品的稳定性，提升整体风味。,安全
335,磷酸二氢钾,GB1886.337-2021,,酸度调节剂,在食品加工中起到重要作用，调节酸碱度，确保食品的风味和品质。,安全
336,磷酸三钠,GB1886.338-2021,,酸度调节剂,白色粉末状，能够有效调节食品的酸度，改善食品的口感和风味，使其更加美味。,安全
337,焦磷酸钠,GB1886.339-2021,,水分保持剂,能与水分子结合，保持食品的水分含量，延长保质期，有助于维持食品的新鲜度。,安全
338,焦磷酸四钾,GB1886.340-2021,,水分保持剂,具有良好的保水性能，能够在食品加工中有效保持水分，提升食品的品质。,安全
339,二氧化钛,GB1886.341-2021,,着色剂,白色粉末状，作为着色剂可使食品呈现白色或增加白度，改善视觉效果和吸引力。,安全
340,硫酸铝铵,GB1886.342-2021,,膨松剂,在食品加工中受热分解产生气体，使食品膨胀，提升膨松效果，增加食品的体积和口感。,安全
341,L-苏氨酸,GB1886.343-2021,,营养强化剂,人体必需的氨基酸之一，可用于食品的营养强化，提高食品的营养价值。,安全
342,DL-丙氨酸,GB1886.344-2021,,增味剂,可增加食品的鲜味，改善口感，提升整体风味，使食品更具吸引力。,安全
343,桑椹红,GB1886.345-2021,,着色剂,从桑椹中提取的天然红色着色剂，具有独特的色泽和营养价值，提升食品的视觉吸引力。,安全
344,柑橘黄,GB1886.346-2021,,着色剂,以柑橘为原料提取的黄色着色剂，颜色鲜艳且稳定，增强食品的外观美感。,安全
345,"4-氨基-5,6-二甲基噻吩并[2,3-d]嘧啶-2(1H)-酮盐酸盐",GB1886.347-2021,,其他,具有特定的用途，在食品加工中发挥作用，可能改善某些食品特性。,安全
346,焦磷酸一氢三钠,GB1886.348-2021,,酸度调节剂,能够调节食品的酸碱度，使食品具有适宜的口感，增强食品的风味和稳定性。,安全
347,茶多酚棕榈酸酯,GB1886.360-2022,,抗氧化剂,具有显著的抗氧化作用，可延长食品的保质期，维持食品的新鲜度。,安全
348,叶绿素铜,GB1886.361-2022,,着色剂,绿色着色剂，能够为食品增添绿色色泽，提升食品的自然感和美观度。,安全
349,ε–聚赖氨酸,GB1886.362-2022,,防腐剂,天然防腐剂，对食品中的微生物有抑制作用，帮助延长食品的保质期。,安全
350,植物活性炭（稻壳来源）,GB1886.363-2022,,吸附剂,能够有效吸附食品中的杂质和异味，提高食品的质量，增强消费者的食用体验。,安全
351,越橘红,GB1886.364-2022,,着色剂,从越橘中提取的天然红色着色剂，具有独特的色泽和营养价值，增加食品的视觉吸引力。,安全
352,5-戊基-3H-呋喃-2-酮,GB1886.376-2024,,食品用香料,具有特殊的香气，可用于增添食品的香味，提升整体风味体验。,安全
353,碳酸氢铵,GB1888-2014,,膨松剂,受热分解产生气体，使食品膨胀，提升膨松效果，改善食品的口感和质感。,安全
354,二丁基羟基甲苯（BHT）,GB1900-2010,,抗氧化剂,有效防止食品氧化变质，延长食品的保质期，维护食品的风味和质量。,安全
355,硫磺,GB3150-2010,,漂白剂、防腐剂,可用于食品的漂白和防腐，但需严格控制剂量，以确保食品安全。,安全
356,苋菜红,GB4479.1-2010,,着色剂,红色着色剂，色泽鲜艳，广泛用于食品着色，提升食品的视觉吸引力。,安全
357,柠檬黄,GB4481.1-2010,,着色剂,黄色着色剂，颜色明亮，常用于食品着色，增加食品的视觉美感。,安全
358,柠檬黄铝色淀,GB4481.2-2010,,着色剂,黄色着色剂，具有较好的稳定性，适用于多种食品的着色需求。,安全
359,日落黄,GB6227.1-2010,,着色剂,橙黄色着色剂，具有良好的稳定性，广泛用于食品着色。,安全
360,明胶,GB6783-2013,,增稠剂,可增加食品的黏稠度，改善食品的质地，常用于乳制品和糖果中。,安全
361,葡萄糖酸-δ-内酯,GB7657-2020,,凝固剂,在食品加工中可使食品凝固成型，常用于豆腐和乳制品。,安全
362,栀子黄,GB7912-2010,,着色剂,黄色着色剂，天然安全，主要用于饮料和糖果的着色。,安全
363,甜菊糖苷,GB1886.355-2022,,甜味剂,天然甜味剂，甜度高，热量低，适用于糖尿病患者的食品。,安全
364,葡萄糖酸锌,GB8820-2010,,营养强化剂,可作为锌的补充来源，增强食品的营养价值，有助于免疫功能。,安全
365,β-胡萝卜素,GB1886.366-2023,,着色剂,黄色着色剂，富含营养，可用于增色和营养强化。,安全
366,松香甘油酯和氢化松香甘油酯,GB10287-2012,,被膜剂,可在食品表面形成保护膜，延长食品的保质期，适用于包装食品。,安全
367,山梨醇酐单硬脂酸酯（司盘 60）,GB13481-2011,,乳化剂,具有良好的乳化性能，可改善食品的质地，常用于烘焙产品。,安全
368,山梨醇酐单油酸酯（司盘 80）,GB13482-2011,,乳化剂,可使不相溶的物质均匀混合，提高食品的稳定性，适用于乳制品和沙拉酱。,安全
369,维生素 A,GB14750-2010,,营养强化剂,对人体视力等方面具有重要作用，常用于婴幼儿食品和保健品。,安全
370,维生素 B1（盐酸硫胺）,GB14751-2010,,营养强化剂,人体必需的维生素之一，可补充人体所需营养，适用于营养补充食品。,安全
371,维生素 B2（核黄素）,GB14752-2010,,营养强化剂,参与人体代谢过程，帮助维持皮肤和眼睛的健康。,安全
372,维生素 B6（盐酸吡哆醇）,GB14753-2010,,营养强化剂,对人体神经系统等有重要作用，可用于食品营养强化。,安全
373,维生素 C（抗坏血酸）,GB14754-2010,,抗氧化剂,具有抗氧化作用，可保护食品中的营养成分，延长保质期。,安全
374,维生素 D2（麦角钙化醇）,GB14755-2010,,营养强化剂,有助于人体对钙的吸收，常用于乳制品和强化食品。,安全
375,维生素 E（dl-α-醋酸生育酚）,GB14756-2010,,抗氧化剂,可防止食品氧化变质，延长食品保质期，适用于油脂类食品。,安全
376,烟酸,GB14757-2010,,营养强化剂,对人体健康有重要作用，常用于能量饮料和营养补充食品。,安全
377,咖啡因,GB14758-2010,,食品用香料,具有特殊的香气和提神醒脑的作用，常用于饮料和能量食品。,安全
378,牛磺酸,GB14759-2010,,营养强化剂,对人体健康有益，常用于运动饮料和能量食品。,安全
379,新红,GB14888.1-2010,,着色剂,红色着色剂，广泛用于食品着色，具有良好的稳定性。,安全
380,新红铝色淀,GB14888.2-2010,,着色剂,红色着色剂，具有较好的稳定性，适用于各种食品的着色。,安全
381,硅藻土,GB14936-2012,,过滤剂,可用于食品的过滤和净化，常用于啤酒和饮料的生产。,安全
382,叶酸,GB15570-2010,,营养强化剂,对人体生长发育等有重要作用，常用于孕妇食品和营养补充剂。,安全
383,葡萄糖酸钙,GB15571-2010,,营养强化剂,可补充人体所需的钙元素，常用于强化食品和饮料。,安全
